Company,TypeName,Ram,Gpu,OpSys,Weight,Price,TouchScreen,IPS,PPI,Cpu_Brand,HDD,SSD
Asus,Notebook,4,1,0,2.03,9.974544159721564,0,0,100.45,2,1000,0
Acer,Notebook,4,2,0,3.0,10.666426618619608,0,1,127.34,5,0,256
Dell,Notebook,8,1,0,2.13,10.565887855372269,0,0,141.21,5,0,256
Lenovo,Gaming,16,2,0,2.5,10.959368385934692,0,1,141.21,7,0,256
Acer,Notebook,4,0,0,2.1,9.82781743779585,0,0,100.45,1,1000,0
MSI,Gaming,16,2,0,2.4,11.470557693018055,0,1,141.21,7,1000,256
Acer,Notebook,4,0,0,2.1,9.87141946386704,0,0,100.45,1,1000,0
Dell,Gaming,8,2,0,2.56,10.942065068725807,0,0,141.21,7,1000,128
Acer,Notebook,8,2,0,3.0,10.725514197260196,0,1,127.34,5,0,256
HP,Notebook,4,0,0,1.49,10.600978286196554,0,1,165.63,5,500,0
Huawei,Ultrabook,8,0,0,1.05,11.182693795440782,0,1,199.69,5,0,256
HP,Notebook,6,1,0,2.71,10.525238618990686,0,1,127.34,5,2000,0
Lenovo,Notebook,4,1,2,2.2,9.708963041637261,0,0,100.45,2,500,0
Toshiba,Notebook,4,0,0,2.0,10.16796189691066,0,0,100.45,3,500,0
HP,Notebook,8,2,0,2.5,10.803210595055619,0,0,127.34,5,0,256
Dell,Notebook,8,0,0,2.3,10.104652126020449,0,0,100.45,3,1000,0
Acer,Notebook,4,0,0,2.1,10.082625714367484,0,0,100.45,3,0,128
MSI,Gaming,32,2,0,4.4,11.91258522125164,0,0,119.72,7,1000,512
Lenovo,Notebook,8,1,0,1.9,10.676315221329915,0,0,141.21,5,1000,128
HP,2 in 1 Convertible,8,0,0,1.29,11.288127045116099,1,1,331.26,5,0,256
Dell,Notebook,16,1,2,2.02,10.9311715265263,0,0,141.21,7,2000,256
Dell,Ultrabook,8,0,0,1.23,11.219087416653776,0,0,165.63,5,0,256
