Company,TypeName,Ram,Gpu,OpSys,Weight,TouchScreen,IPS,PPI,Cpu_Brand,HDD,SSD
HP,Notebook,4,1,0,1.86,0,0,100.45,2,0,256
Asus,Ultrabook,8,0,0,1.25,0,0,157.35,7,0,256
HP,Ultrabook,8,0,0,0.97,1,1,352.47,1,0,512
Asus,Notebook,4,0,0,2.0,0,0,141.21,1,1000,0
MSI,Gaming,16,2,0,2.9,0,0,127.34,7,1000,256
Acer,Notebook,4,0,0,2.1,0,0,100.45,3,1000,0
Dell,Gaming,16,2,0,2.56,0,0,141.21,7,0,512
Dell,Gaming,8,2,0,2.62,0,0,141.21,7,0,0
Lenovo,Notebook,4,0,0,1.9,0,0,100.45,5,0,128
MSI,Gaming,16,2,0,2.8,0,0,127.34,7,1000,256
HP,Ultrabook,4,0,0,1.48,0,0,157.35,5,0,256
HP,Notebook,6,1,0,1.91,0,0,141.21,5,0,256
Lenovo,2 in 1 Convertible,4,0,0,1.74,1,1,157.35,3,0,256
Asus,2 in 1 Convertible,8,0,0,1.1,1,0,165.63,5,0,256
Dell,2 in 1 Convertible,8,0,0,1.56,1,0,141.21,7,0,256
Toshiba,Notebook,4,0,0,2.1,0,0,100.45,3,500,0
Asus,Notebook,4,1,0,2.03,0,0,100.45,2,1000,0
Acer,Notebook,4,2,0,3.0,0,1,127.34,5,0,256
Dell,Notebook,8,1,0,2.13,0,0,141.21,5,0,256
Lenovo,Gaming,16,2,0,2.5,0,1,141.21,7,0,256
Acer,Notebook,4,0,0,2.1,0,0,100.45,1,1000,0
MSI,Gaming,16,2,0,2.4,0,1,141.21,7,1000,256
Acer,Notebook,4,0,0,2.1,0,0,100.45,1,1000,0
Dell,Gaming,8,2,0,2.56,0,0,141.21,7,1000,128
Acer,Notebook,8,2,0,3.0,0,1,127.34,5,0,256
HP,Notebook,4,0,0,1.49,0,1,165.63,5,500,0
Huawei,Ultrabook,8,0,0,1.05,0,1,199.69,5,0,256
HP,Notebook,6,1,0,2.71,0,1,127.34,5,2000,0
Lenovo,Notebook,4,1,2,2.2,0,0,100.45,2,500,0
Toshiba,Notebook,4,0,0,2.0,0,0,100.45,3,500,0
HP,Notebook,8,2,0,2.5,0,0,127.34,5,0,256
Dell,Notebook,8,0,0,2.3,0,0,100.45,3,1000,0
